state,specialty,ndb_spec,credentialing_required
ID,Nuclear Cardiology,16,Yes
ID,Nuclear Medicine,36,No1 (Except MO)
ID,Nuclear Radiology,286,No1 (Except MO)
ID,Obstetrics,250,Yes (as Obstetrics And Gynecology)
ID,Obstetrics And Gynecology,230,Yes
ID,Occupational Medicine,231,Yes
ID,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
ID,Ophthalmology,18,Yes
ID,Ophthalmology Cornea Surgery,355,Yes
ID,Ophthalmology Retina Surgery,354,Yes
ID,Oral and Maxillofacial Surgery,92,Yes
ID,Oral Pathology,232,Yes
ID,Orofacial Plastic Surgery,233,Yes
ID,Orthopedic Surgery,20,Yes
ID,Osteopathic Manipulative Medicine,330,Yes
ID,Otolaryngology (ENT),4,Yes
ID,Otology,254,Yes (as Otolaryngology)
ID,Pain Management,319,Yes
ID,Pastoral Counselor,388,No
ID,Pathology,22,No1 (Except MO)
ID,Pediatric Allergy Immunology,86,Yes
ID,Pediatric Anesthesiology,116,No1 (Except MO)
ID,Pediatric Behavioral,363,No2
ID,Pediatric Cardiology,85,Yes
ID,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
ID,Pediatric Child Abuse,258,Yes
ID,Pediatric Critical Care Medicine,234,Yes
ID,Pediatric Dermatology,117,Yes
ID,Pediatric Developmental & Behavioral,255,Yes
ID,Pediatric Emergency Medicine,321,Yes
ID,Pediatric Endocrinology,82,Yes
ID,Pediatric Gastroenterology,259,Yes
ID,Pediatric Genetics,260,Yes
ID,Pediatric Hematology Oncology,88,Yes
ID,Pediatric Infectious Disease Medicine,78,Yes
ID,Pediatric Nephrology,31,Yes
ID,Pediatric Neurology,262,Yes
ID,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
ID,Pediatric Ophthalmology,263,Yes
ID,Pediatric Orthopedic Surgery,264,Yes
ID,Pediatric Otolaryngology (ENT),265,Yes
ID,Pediatric Pathology,322,No1 (Except MO)
ID,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
ID,Pediatric Pulmonary Medicine,96,Yes
ID,Pediatric Radiology,288,No1 (Except MO)
ID,Pediatric Rehabilitation Medicine,341,Yes
ID,Pediatric Rheumatology,261,Yes
ID,Pediatric Specialist,274,Yes (as Pediatrics)
ID,Pediatric Speech Pathologist,115,No2
ID,Pediatric Sports Medicine,323,Yes
ID,Pediatric Surgery,114,Yes
ID,Pediatric Urology,267,Yes
ID,Pediatrics,37,Yes
ID,Perinatology (Maternal & Fetal Medicine),226,Yes
ID,Phlebology,396,Yes
ID,Physical Medicine and Rehabilitation / Physiatry,25,Yes
ID,Physician Nutrition Specialist,103,Yes
ID,Plastic Surgery,24,Yes
ID,Plastic Surgery within the Head & Neck,337,Yes
ID,Preventative Medicine Aerospace,41,Yes
ID,Preventive Medicine,281,Yes
ID,Proctology,28,Yes
ID,Psychiatric Nurse Specialist/Practitioner,329,No2
ID,Psychiatric Social Work,9,No2
ID,Psychiatry,26,No2
ID,"Psychology, Clinical (Doctorate Level)",70,No2
ID,Psychosomatic Medicine,291,No2
ID,Public Health,238,Yes
ID,Public Health & General Preventive Medicine,236,Yes
ID,Pulmonary Medicine,29,Yes
ID,Radiation Oncology,32,Yes
ID,Radioisotopic Pathology,240,No1 (Except MO)
ID,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
ID,Radiological Physics,324,Yes (as Radiation Oncology)
ID,Radiology,30,No1 (Except MO)
ID,Rehabilitative Medicine,253,Yes
ID,Reproductive Endocrinology,241,Yes
ID,Rheumatology,90,Yes
ID,Rhinology,292,Yes (as Otolaryngology)
ID,Shoulder Surgery,350,Yes (as Orthopaedic Surgery or Surgery)
ID,Sleep Study Medicine,361,Yes
ID,"Social Worker, Licensed Clinical/Medical",63,No2
ID,Spinal Cord Injury Medicine,344,Yes
ID,Sports Medicine,296,Yes
ID,Surgery,2,Yes
ID,Surgical Critical Care,242,Yes
ID,Surgical Oncologist,508,Yes
ID,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
ID,Thoracic Cardiovascular Surgery,33,Yes
ID,Thoracic Surgery,101,Yes
ID,Traumatic Surgery,293,Yes
ID,Undersea and Hyperbaric Medicine,327,Yes
ID,Undersea Medicine,372,Yes
ID,Urgent Care Medicine,328,No1 (Except MO)
ID,Urology,34,Yes
ID,Vascular Intervention Radiology,335,No1 (Except MO)
IA,Acupuncture,201,No2
IA,Addiction Medicine Specialist,331,No2
IA,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
IA,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
IA,Athletic Trainer,121,No
IA,Audiology,205,Yes
IA,Behavioral Analyst,300,No2
IA,Certified Diabetic Educator,27,Yes
IA,Certified Nurse Midwife,69,Yes
IA,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
IA,Child Psychology,268,No2
IA,Chiropractic Medicine,35,No2
IA,Christian Science Practitioner,376,No
IA,Counselor - MH/SA/School,377,No2
IA,Dentist,50,No2
IA,"Dentist, Oral Surgeon",92,Yes
IA,Employee Assistance Program (EAP) Counselor,379,No
IA,Empowerment Coach,118,No
IA,Endodontics,51,No2
IA,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
IA,Genetic Counselor,320,No
IA,Hearing Instrument Specialist,298,No
IA,Home Health  / Private Duty Nurse,243,No
IA,Home Health Aide,67,No
IA,Homemaker,21,No
IA,Homeopathic Medicine,282,No
IA,Lactation Specialist,380,No
IA,Licensed Professional Counselor,381,No2
IA,Licensed Vocational Nurse,382,No
IA,Marriage & Family Therapy,318,No2
IA,Massage Therapy,514,No
IA,Master of Social Work,391,No2
IA,"Naturopathy, Doctor of",384,Yes
IA,Neuropsychology,397,No2
IA,Non-Indep Licensed MH Provider,244,No
IA,Nurse Practitioner,77,Yes
IA,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
IA,"Nurse, Clinical Specialist in Mental Health",385,No2
IA,"Nurse, Licensed Practical",65,No
IA,"Nurse, Registered",64,No
IA,"Nurse, Registered, First Assistant (RNFA)",386,No
IA,Nutritionist (Registered Dietician),89,Yes
IA,Occupational Therapy,61,No2
IA,Optician,109,No
IA,Optometry,76,No2
IA,Orthodontics,52,No2
IA,Pastoral Counselor,388,No
IA,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
IA,Pediatric Nutrition,120,Yes (as Registered Dietician)
IA,Pediatric Occupational Therapy,119,No2
IA,Pedodontics,53,No2
IA,Peridontics,54,No2
IA,Pharmacist,212,No
IA,Physical Therapy,73,No2
IA,Physical Therapy - Hand,368,No2
IA,Physical Therapy - Hand Splinting,369,No2
IA,Physical Therapy - Pediatric,367,No2
IA,Physician Assistant,338,Yes
IA,Podiatry,48,Yes
IA,Prosthodontics,55,No2
IA,Psychiatric Nurse Specialist/Practitioner,329,No2
IA,"Psychology, Clinical (Doctorate Level)",70,No2
IA,"Psychology, Clinical (Masters Level)",70,No2
IA,Registered Nurse Anesthetist,395,No1 (Except MO)
IA,Social Worker (Registered Social Worker),390,No2
IA,"Social Worker, Licensed Clinical/Medical",63,No2
IA,"Social Worker, Marriage & Family",392,No2
IA,Speech Pathology,246,No2
IA,Speech Therapy,74,No2
IA,"Substance Abuse Services, Alcohol & Drug",507,No
IA,Surgical Technician,393,No
IA,Unknown Physician/Doctor of Education,99,No
IA,Visiting Nurse,394,No
IA,Certified Asthma Educator,43,No
IA,Assisted Care Living Facility - Center  (HCBS,,No
IA,Assisted Care Living Facility - Home  (HCBS,,No
IA,Critical Access Hospital,,Yes (as General Acute Hospital)
IA,General Acute Care Hospital,,Yes
IA,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
IA,Hospital Unit - Psychiatry,,No2
IA,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
IA,Indian Health Service Hospital,,No
IA,In-Patient Hospice,,Yes
IA,Physical Disability / Rehabilitation Facility,,Yes
IA,Long Term Acute Care Facility (LTAC),,Yes
IA,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
IA,Military Hospital,,No
IA,Military Treatment Facility / TRICARE USE ONLY,,No
IA,Non Medical In-Patient Facility,,No
IA,Osteopathic Hospital,,Yes
IA,Pediatric Hospital,,Yes
IA,Psychiatric Hospital,,No2
IA,Religious Nonmedical Health Care Institution,,No
IA,"Residential Treatment Facility (Facility, Community/MHDD)",,No
IA,Respite Care Facility,,No
IA,Alcohol/Chemical Dependency Treatment Center,,No
IA,School / Custodial /Developmental Center,,No
IA,Skilled Nursing  Facility (Convalescent Facility),,Yes
IA,Veteran's Administration or other Gov'tal Facility,,No
IA,Pest Control Company (HCBS),,No
IA,Adult Day Care/Social Day Care,,No
IA,Adult Day Health Care,,No
IA,Adult Foster Care (HCBS),,No
IA,Alcohol Treatment Center/Clinic,,No
IA,Ambulance - Freestanding,,No
IA,Ambulance - Hospital Based,,No
IA,Ambulatory Surgery Center/ASC,,Yes
IA,Assitive Technology Supplier  (HCBS),,No
IA,Attendant Care Agency/In Home Supportive Care,,No
IA,Audiology/Hearing Center - DIAGNOSTIC,,No
IA,Audiology/Hearing Center - SURGICAL,,No
IA,Autism ABA Agency/Clinic,,No
IA,Birthing Clinic,,Yes (TRICARE Only)
IA,Blood Bank,,No
IA,Cardiac Diagnostic Center,,No
IA,Cardiac Rehab Center/Clinic,,No
IA,Family Planning Clinic,,No
IA,Community Based Hospice,,Yes
IA,Community/Public Health Clinic,,No
IA,Convenience Care Clinic,,No
IA,Diabetes Education Center,,Yes
IA,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
IA,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
IA,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
IA,Dialysis Center,,Yes
IA,Durable Medical Equipment (Medical Supply Company),,No
IA,Durable Medical Equipment Orthotics/Prosthetics,,No
IA,Environmental Adaptation Company (HCBS),,No
IA,Family Planning Clinic,,No
IA,Federally Qualified Health Center (FQHC),,Yes
IA,Freestanding Emergency Dept,,No
IA,Habilitation Agency (HCBS),,No
IA,Hemophiliac Treatment Center- PHARMACY ONLY,,No
IA,Home Delivered Meals Agency (HCBS),,No
IA,Home Health Care Agency/PACE Provider Agency,,Yes
IA,Home Health/Home Infusion (Combined),,Yes
IA,Homemaker Agency (HCBS),,No
IA,Hyperbaric Oxygen Chamber,,No
IA,Infertility Center,,No
IA,Infirmary,,No
IA,Infusion Therapy - Home & Clinic,,No
IA,Laboratory Center (Independent or Commercial),,Yes
IA,Lithotripsy Centers,,No
IA,Magnetic Resonance Imaging Center/Clinic,,No
IA,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
IA,Non -Emergent Transportation,,No
IA,Personal Care,,No
IA,Pediatric Medical Day Care (HCBS),,No
IA,Pharmacy,,No
IA,Portable Diag Img Supplier,,Yes
IA,Radiation Oncology Center,,No
IA,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
IA,Rural Health Clinic (RHC),,Yes
IA,Sleep Study Center,,No
IA,Surgery Suite/Center,,No
IA,Transition Service Agency (HCBS),,No
IA,Urgent Care Center/Clinic,,No (Yes for AZ Only)
IA,Veteran's Administration Medical Clinic (VAMC),,No
IA,Wellness Service Provider,,No
IA,X-Ray/Radiology Center,,No
IA,Abdominal Surgery,270,Yes (as Surgery)
IA,Addiction Medicine,347,No2
IA,Addiction Psychiatry,301,No2
IA,Adolescent Medicine,276,Yes
IA,Allergy,252,Yes (as Allergy and Immunology)
IA,Allergy and Immunology,3,Yes
IA,Anatomic & Clinical Pathology,203,No1 (Except MO)
IA,Anatomic Pathology,202,No1 (Except MO)
IA,Anesthesiology,5,No1 (Except MO)
IA,Back & Spine Surgery,348,Yes (as Neurological Surgery or Orthopedic Surgery)
IA,Blood Banking/Transfusion Medicine,334,No
IA,Bone Marrow Transplant,366,Yes
IA,Breast Reconstruction,359,Yes (as Plastic Surgery or Reconstructive Surgery)
IA,Breast Surgery,358,Yes (as Plastic Surgery or Surgery)
IA,Cardiac Diagnostic,513,Yes (as Cardiovascular Disease)
IA,Cardiology,12,Yes (as Cardiovascular Disease)
IA,Cardiovascular Disease,6,Yes
IA,Cardiovascular Surgery,500,Yes
IA,Chemical Pathology,207,No1 (Except MO)
IA,Chest and Respiratory Therapy,75,Yes
IA,Child & Adolescent Psychiatry,257,No2
IA,Child Neurology,208,Yes
IA,Child Psychology,268,No2
IA,Clinical Biochemical Genetics,305,Yes
IA,Clinical Biochemical/Molecular Genetics,306,Yes (as Clinical Biochemical or Clinical Molecular Genetics)
IA,Clinical Cardiac Electrophysiology,304,Yes
IA,Clinical Cytogenetics,307,Yes
IA,Clinical Genetics,308,Yes
IA,Clinical Molecular Genetics,370,Yes
IA,Clinical Neurophysiology,310,Yes
IA,Clinical Pathology,210,No1 (Except MO)
IA,Clinical Pharmacology,211,No
IA,Colon and Rectal Surgery,15,Yes
IA,Counselor - MH/SA/School,377,No2
IA,Crisis Diversion,378,No2
IA,Critical Care Medicine,214,Yes
IA,Cytopathology,312,No1 (Except MO)
IA,Dermatology,7,Yes
IA,Dermatopathology,218,Yes
IA,Diabetes,278,"Yes (as Endocrinology, Diabetes and Metabolism)"
IA,Diag Rad with Special Competence in Nuclear Rad,345,Yes (as Diagnostic Radiology)
IA,Diagnostic Lab Immunology,107,Yes (as Clinical and Laboratory Immunology or Immunology)
IA,Diagnostic Radiology,220,No1 (Except MO)
IA,Digestive Diseases,509,Yes (as Gastroenterology)
IA,Early Intervention,122,Yes (as Preventative Medicine)
IA,Emergency Medicine,42,No1 (Except MO)
IA,"Endocrinology, Diabetes and Metabolism",17,Yes
IA,Family Planning,123,"Yes (as FP, GP, IM, OBGYN, NP, or PA)"
IA,Family Practice,8,Yes
IA,Family Practice Specialist,275,Yes (as Family Practice)
IA,Forensic Pathology,223,No1 (Except MO)
IA,Forensic Psychiatry,346,No2
IA,Gastroenterology,10,Yes
IA,General Practice,1,Yes
IA,General Practice Specialist,272,Yes (as General Practice)
IA,General Vascular Surgery,95,Yes
IA,Geriatric Medicine,38,Yes
IA,Geriatric Psychiatry,314,No2
IA,Gynecologic Oncology,221,Yes
IA,Gynecology,251,Yes (as Obstetrics And Gynecology)
IA,Hand Surgery,40,Yes
IA,Head & Neck Surgery,271,Yes (as Plastic Surgery - Head and Neck)
IA,Headache Treatment,356,Yes (as Neurology or Headache Medicine)
IA,Hematology,93,Yes
IA,Hematology/Oncology,504,Yes
IA,Hepatology - Liver Disease,365,Yes (as Hepatology or Transplant Hepatology)
IA,High-Risk Pregnancy,353,Yes (as Obstetrics And Gynecology or Perinatology)
IA,HIV-AIDS,360,Yes (as Internal Medicine or Infectious Disease)
IA,Hospice & Palliative Medicine,19,Yes
IA,Hospitalist,340,No1 (Except MO)
IA,Hyperbaric Medicine/Wound Care,373,Yes (as Undersea and Hyperbaric Medicine)
IA,Immunology,283,Yes (as Allergy and Immunology)
IA,Immunopathology,225,No1 (Except MO)
IA,Independent Medical Examiner,97,No
IA,Infectious Disease Medicine,80,Yes
IA,Infertility Medicine,352,Yes (as Obstetrics and Gynecology or Reproductive Endocrinology/Infertility)
IA,Internal Medicine,11,Yes
IA,Internal Medicine Pediatrics,,Yes (as Internal Medicine and Pediatrics)
IA,Internal Medicine Specialist,273,Yes (as Internal Medicine)
IA,Interventional Cardiology,342,Yes
IA,Interventional Radiology,124,Yes
IA,Knee Surgery,349,Yes (as Orthopedic Surgery or Surgery)
IA,Laryngology,284,Yes (as Otolaryngology)
IA,Legal Medicine,285,No
IA,Licensed Professional Counselor,381,No2
IA,Marriage & Family Therapy,318,No2
IA,Medical Genetics,309,Yes
IA,Medical Microbiology,227,No
IA,Medical Oncology,59,Yes
IA,Medical Toxicology,333,No
IA,MOHS Surgery,357,Yes
IA,Molecular Genetic Pathology,371,No1 (Except MO)
IA,Movement Disorders,249,Yes (as Neurology or Neuromuscular Disease)
IA,MRI/Magnetic Resonance,511,No1 (Except MO)
IA,Neonatology,87,No1 (Except MO)
IA,Neoplastics Diseases,502,Yes (as Hematology or Oncology)
IA,Nephrology,39,Yes
IA,Neurodevelopmental Disabilities,343,Yes
IA,Neurological Surgery,14,Yes
IA,Neurology,13,Yes
IA,Neurology & Psychiatry,228,No2
IA,Neuromuscular Disease,269,Yes
IA,Neuropathology,229,No1 (Except MO)
IA,Neuroradiology,332,No1 (Except MO)
IA,Nuclear Cardiology,16,Yes
IA,Nuclear Medicine,36,No1 (Except MO)
IA,Nuclear Radiology,286,No1 (Except MO)
IA,Obstetrics,250,Yes (as Obstetrics And Gynecology)
IA,Obstetrics And Gynecology,230,Yes
IA,Occupational Medicine,231,Yes
IA,Ophthalmic Plastic Surgery,364,Yes (as Ophthalmology)
IA,Ophthalmology,18,Yes
IA,Ophthalmology Cornea Surgery,355,Yes
IA,Ophthalmology Retina Surgery,354,Yes
IA,Oral and Maxillofacial Surgery,92,Yes
IA,Oral Pathology,232,Yes
IA,Orofacial Plastic Surgery,233,Yes
IA,Orthopedic Surgery,20,Yes
IA,Osteopathic Manipulative Medicine,330,Yes
IA,Otolaryngology (ENT),4,Yes
IA,Otology,254,Yes (as Otolaryngology)
IA,Pain Management,319,Yes
IA,Pastoral Counselor,388,No
IA,Pathology,22,No1 (Except MO)
IA,Pediatric Allergy Immunology,86,Yes
IA,Pediatric Anesthesiology,116,No1 (Except MO)
IA,Pediatric Behavioral,363,No2
IA,Pediatric Cardiology,85,Yes
IA,Pediatric Cardiothoracic Surgery,505,Yes (as Pediatric Surgery)
IA,Pediatric Child Abuse,258,Yes
IA,Pediatric Critical Care Medicine,234,Yes
IA,Pediatric Dermatology,117,Yes
IA,Pediatric Developmental & Behavioral,255,Yes
IA,Pediatric Emergency Medicine,321,Yes
IA,Pediatric Endocrinology,82,Yes
IA,Pediatric Gastroenterology,259,Yes
IA,Pediatric Genetics,260,Yes
IA,Pediatric Hematology Oncology,88,Yes
IA,Pediatric Infectious Disease Medicine,78,Yes
IA,Pediatric Nephrology,31,Yes
IA,Pediatric Neurology,262,Yes
IA,Pediatric Neurosurgery,81,Yes (as Neurological Surgery)
IA,Pediatric Ophthalmology,263,Yes
IA,Pediatric Orthopedic Surgery,264,Yes
IA,Pediatric Otolaryngology (ENT),265,Yes
IA,Pediatric Pathology,322,No1 (Except MO)
IA,Pediatric Plastic Surgery,266,Yes (as Plastic Surgery)
IA,Pediatric Pulmonary Medicine,96,Yes
IA,Pediatric Radiology,288,No1 (Except MO)
IA,Pediatric Rehabilitation Medicine,341,Yes
IA,Pediatric Rheumatology,261,Yes
IA,Pediatric Specialist,274,Yes (as Pediatrics)
IA,Pediatric Speech Pathologist,115,No2
IA,Pediatric Sports Medicine,323,Yes
IA,Pediatric Surgery,114,Yes
IA,Pediatric Urology,267,Yes
IA,Pediatrics,37,Yes
IA,Perinatology (Maternal & Fetal Medicine),226,Yes
IA,Phlebology,396,Yes
IA,Physical Medicine and Rehabilitation / Physiatry,25,Yes
IA,Physician Nutrition Specialist,103,Yes
IA,Plastic Surgery,24,Yes
IA,Plastic Surgery within the Head & Neck,337,Yes
IA,Preventative Medicine Aerospace,41,Yes
IA,Preventive Medicine,281,Yes
IA,Proctology,28,Yes
IA,Psychiatric Nurse Specialist/Practitioner,329,No2
IA,Psychiatric Social Work,9,No2
IA,Psychiatry,26,No2
IA,"Psychology, Clinical (Doctorate Level)",70,No2
IA,Psychosomatic Medicine,291,No2
IA,Public Health,238,Yes
IA,Public Health & General Preventive Medicine,236,Yes
IA,Pulmonary Medicine,29,Yes
IA,Radiation Oncology,32,Yes
IA,Radioisotopic Pathology,240,No1 (Except MO)
IA,Radioisotopic Radiology,503,Yes (as Nuclear Medicine or Nuclear Radiology)
IA,Radiological Physics,324,Yes (as Radiation Oncology)
IA,Radiology,30,No1 (Except MO)
IA,Rehabilitative Medicine,253,Yes
IA,Reproductive Endocrinology,241,Yes
IA,Rheumatology,90,Yes
IA,Rhinology,292,Yes (as Otolaryngology)
IA,Shoulder Surgery,350,Yes (as Orthopedic Surgery or Surgery)
IA,Sleep Study Medicine,361,Yes
IA,"Social Worker, Licensed Clinical/Medical",63,No2
IA,Spinal Cord Injury Medicine,344,Yes
IA,Sports Medicine,296,Yes
IA,Surgery,2,Yes
IA,Surgical Critical Care,242,Yes
IA,Surgical Oncologist,508,Yes
IA,Therapeutic Radiology,239,Yes (as Radiation Oncology or Interventional Radiology)
IA,Thoracic Cardiovascular Surgery,33,Yes
IA,Thoracic Surgery,101,Yes
IA,Traumatic Surgery,293,Yes
IA,Undersea and Hyperbaric Medicine,327,Yes
IA,Undersea Medicine,372,Yes
IA,Urgent Care Medicine,328,No1 (Except MO)
IA,Urology,34,Yes
IA,Vascular Intervention Radiology,335,No1 (Except MO)
IL,Acupuncture,201,No2
IL,Addiction Medicine Specialist,331,No2
IL,Advanced Practice Registered Psychiatric Nurse Practitioner,374,No2
IL,Advanced Registered Nurse Practitioner,375,Yes (as Nurse Practitioner)
IL,Athletic Trainer,121,No
IL,Audiology,205,Yes
IL,Behavioral Analyst,300,No2
IL,Certified Diabetic Educator,27,Yes
IL,Certified Nurse Midwife,69,Yes
IL,Certified Registered Nurse Anesthetist,68,No1 (Except MO)
IL,Child Psychology,268,No2
IL,Chiropractic Medicine,35,No2
IL,Christian Science Practitioner,376,No
IL,Counselor - MH/SA/School,377,No2
IL,Dentist,50,No2
IL,"Dentist, Oral Surgeon",92,Yes
IL,Employee Assistance Program (EAP) Counselor,379,No
IL,Empowerment Coach,118,No
IL,Endodontics,51,No2
IL,Family Nurse Practitioner,339,Yes (as Nurse Practitioner)
IL,Genetic Counselor,320,No
IL,Hearing Instrument Specialist,298,No
IL,Home Health  / Private Duty Nurse,243,No
IL,Home Health Aide,67,No
IL,Homemaker,21,No
IL,Homeopathic Medicine,282,No
IL,Lactation Specialist,380,No
IL,Licensed Professional Counselor,381,No2
IL,Licensed Vocational Nurse,382,No
IL,Marriage & Family Therapy,318,No2
IL,Massage Therapy,514,No
IL,Master of Social Work,391,No2
IL,"Naturopathy, Doctor of",384,Yes
IL,Neuropsychology,397,No2
IL,Non-Indep Licensed MH Provider,244,No
IL,Nurse Practitioner,77,Yes
IL,"Nurse Practitioner, Clinical Specialist in Mental Health (NP)",387,No2
IL,"Nurse, Clinical Specialist in Mental Health",385,No2
IL,"Nurse, Licensed Practical",65,No
IL,"Nurse, Registered",64,No
IL,"Nurse, Registered, First Assistant (RNFA)",386,No
IL,Nutritionist (Registered Dietician),89,Yes
IL,Occupational Therapy,61,No2
IL,Optician,109,No
IL,Optometry,76,No2
IL,Orthodontics,52,No2
IL,Pastoral Counselor,388,No
IL,Pediatric Nurse Practitioner,389,Yes (as Nurse Practitioner)
IL,Pediatric Nutrition,120,Yes (as Registered Dietician)
IL,Pediatric Occupational Therapy,119,No2
IL,Pedodontics,53,No2
IL,Peridontics,54,No2
IL,Pharmacist,212,No
IL,Physical Therapy,73,No2
IL,Physical Therapy - Hand,368,No2
IL,Physical Therapy - Hand Splinting,369,No2
IL,Physical Therapy - Pediatric,367,No2
IL,Physician Assistant,338,Yes
IL,Podiatry,48,Yes
IL,Prosthodontics,55,No2
IL,Psychiatric Nurse Specialist/Practitioner,329,No2
IL,"Psychology, Clinical (Doctorate Level)",70,No2
IL,"Psychology, Clinical (Masters Level)",70,No2
IL,Registered Nurse Anesthetist,395,No1 (Except MO)
IL,Social Worker (Registered Social Worker),390,No2
IL,"Social Worker, Licensed Clinical/Medical",63,No2
IL,"Social Worker, Marriage & Family",392,No2
IL,Speech Pathology,246,No2
IL,Speech Therapy,74,No2
IL,"Substance Abuse Services, Alcohol & Drug",507,No
IL,Surgical Technician,393,No
IL,Unknown Physician/Doctor of Education,99,No
IL,Visiting Nurse,394,No
IL,Certified Asthma Educator,43,No
IL,Assisted Care Living Facility - Center  (HCBS,,No
IL,Assisted Care Living Facility - Home  (HCBS,,No
IL,Critical Access Hospital,,Yes (as General Acute Hospital)
IL,General Acute Care Hospital,,Yes
IL,Hospital Unit - Epilepsy,,Yes (as General Acute Hospital)
IL,Hospital Unit - Psychiatry,,No2
IL,Hospital Unit - Rehabilitation,,Yes (as General Acute Hospital)
IL,Indian Health Service Hospital,,No
IL,In-Patient Hospice,,Yes
IL,Physical Disability / Rehabilitation Facility,,Yes
IL,Long Term Acute Care Facility (LTAC),,Yes
IL,Medicare Defined Swing Bed,,Yes (as General Acute Hospital)
IL,Military Hospital,,No
IL,Military Treatment Facility / TRICARE USE ONLY,,No
IL,Non Medical In-Patient Facility,,No
IL,Osteopathic Hospital,,Yes
IL,Pediatric Hospital,,Yes
IL,Psychiatric Hospital,,No2
IL,Religious Nonmedical Health Care Institution,,No
IL,"Residential Treatment Facility (Facility, Community/MHDD)",,No
IL,Respite Care Facility,,No
IL,Alcohol/Chemical Dependency Treatment Center,,No
IL,School / Custodial /Developmental Center,,No
IL,Skilled Nursing  Facility (Convalescent Facility),,Yes
IL,Veteran's Administration or other Gov'tal Facility,,No
IL,Pest Control Company (HCBS),,No
IL,Adult Day Care/Social Day Care,,No
IL,Adult Day Health Care,,No
IL,Adult Foster Care (HCBS),,No
IL,Alcohol Treatment Center/Clinic,,No
IL,Ambulance - Freestanding,,No
IL,Ambulance - Hospital Based,,No
IL,Ambulatory Surgery Center/ASC,,Yes
IL,Assitive Technology Supplier  (HCBS),,No
IL,Attendant Care Agency/In Home Supportive Care,,No
IL,Audiology/Hearing Center - DIAGNOSTIC,,No
IL,Audiology/Hearing Center - SURGICAL,,No
IL,Autism ABA Agency/Clinic,,No
IL,Birthing Clinic,,Yes (TRICARE Only)
IL,Blood Bank,,No
IL,Cardiac Diagnostic Center,,No
IL,Cardiac Rehab Center/Clinic,,No
IL,Family Planning Clinic,,No
IL,Community Based Hospice,,Yes
IL,Community/Public Health Clinic,,No
IL,Convenience Care Clinic,,No
IL,Diabetes Education Center,,Yes
IL,Diagnostic/Treatment Center - Both Lab & Radiology Services,,No
IL,Diagnostic/Treatment Center - LAB BASED SERVICES ONLY,,No
IL,Diagnostic/Treatment Center - RADIOLOGY ONLY,,No
IL,Dialysis Center,,Yes
IL,Durable Medical Equipment (Medical Supply Company),,No
IL,Durable Medical Equipment Orthotics/Prosthetics,,No
IL,Environmental Adaptation Company (HCBS),,No
IL,Family Planning Clinic,,No
IL,Federally Qualified Health Center (FQHC),,Yes
IL,Freestanding Emergency Dept,,No
IL,Habilitation Agency (HCBS),,No
IL,Hemophiliac Treatment Center- PHARMACY ONLY,,No
IL,Home Delivered Meals Agency (HCBS),,No
IL,Home Health Care Agency/PACE Provider Agency,,Yes
IL,Home Health/Home Infusion (Combined),,Yes
IL,Homemaker Agency (HCBS),,No
IL,Hyperbaric Oxygen Chamber,,No
IL,Infertility Center,,No
IL,Infirmary,,No
IL,Infusion Therapy - Home & Clinic,,No
IL,Laboratory Center (Independent or Commercial),,Yes
IL,Lithotripsy Centers,,No
IL,Magnetic Resonance Imaging Center/Clinic,,No
IL,MHSA Rehabilitation Facility,,No (Yes for AZ Only)
IL,Non -Emergent Transportation,,No
IL,Personal Care,,No
IL,Pediatric Medical Day Care (HCBS),,No
IL,Pharmacy,,No
IL,Portable Diag Img Supplier,,Yes
IL,Radiation Oncology Center,,No
IL,Rehabilitation Clinic,,Yes (CORFs only - Comprehensive Outpatient Rehab Facilty)
IL,Rural Health Clinic (RHC),,Yes
IL,Sleep Study Center,,No
IL,Surgery Suite/Center,,No
IL,Transition Service Agency (HCBS),,No
IL,Urgent Care Center/Clinic,,No (Yes for AZ Only)
IL,Veteran's Administration Medical Clinic (VAMC),,No
IL,Wellness Service Provider,,No
IL,X-Ray/Radiology Center,,No
IL,Abdominal Surgery,270,Yes (as Surgery)
