lastname,taxid,mpin,provstatus,provtype,orgtypecd,state
EINSTEIN DIAGNOSTIC TESTING             ,204193243,3917891,N,O,1,PA
EINSTEIN HOLMESBURG RADIOLOGY           ,231396794,3917898,N,O,1,PA
EINSTEIN MEDICAL CENTER MONTGOMERY      ,204193243,3508914,P,O,1,PA
EINSTEIN PAIN INSTITUTE                 ,232664784,5926996,N,O,1,PA
EISENHOWER ARMY MED CTR                 ,742452845,1681739,N,O,1,GA
EISENHOWER MEDICAL CENTER               ,953930773,1720452,N,O,1,CO
EISENHOWER MEDICAL CENTER               ,956130458,138702,P,O,1,CA
EL BUEN PASTOR HOSPITAL                 ,660290608,655812,N,O,1,PR
EL CAMINO HOSPITAL                      ,943167314,703518,P,O,1,CA
EL CAMINO HOSPITAL LOS GATOS            ,943167314,1714151,P,O,1,CA
EL CAMPO MEMORIAL HOSPITAL              ,452750258,1018230,P,O,1,TX
EL CENTRO REGIONAL MEDICAL CTR          ,951915820,138226,P,O,1,CA
EL DORADO HOSPITAL                      ,200385301,666694,N,O,1,AZ
EL PASO CHILDRENS HOSPITAL              ,263075429,3301547,P,O,1,TX
EL PASO LTAC HOSPITAL                   ,203929328,2841787,N,O,1,TX
EL PASO SPECIALTY HOSPITAL              ,364320139,1737642,P,O,1,TX
EL PORTAL MEDICAL ONCOLOGY CENTER       ,770252214,3032738,N,O,1,ME
ELASTAR COMMUNITY HOSPITAL              ,10709813,66071,N,O,1,CA
ELASTAR COMMUNITY HOSPITAL              ,952209265,66071,N,O,1,CA
ELBA GENERAL HOSPITAL & NURSING HOME    ,630459040,678869,P,O,1,AL
ELBERT MEMORIAL HOSPITAL                ,586002491,88518,P,O,1,GA
ELDORA COMMUNITY HOSPITAL               ,426005839,633446,N,O,1,IA
ELEANOR SLATER HOSPITAL                 ,56000522,2122188,N,O,1,RI
ELECTRA MEMORIAL HOSPITAL               ,756219138,309870,P,O,1,TX
ELITE CARE EMERGENCY CENTER             ,383813467,3330016,N,O,1,TX
ELIZA COFFEE MEMORIAL HOSPITAL          ,272451336,545283,P,O,1,AL
ELIZABETH MASON INFIRMARY HOS           ,41843040,1522152,N,O,1,MA
ELIZABETH SETON BIRTHING CENTER         ,133879378,2328727,N,O,1,NY
ELIZABETHTOWN COMMUNITY HOSPITAL        ,141364513,649576,P,O,1,NY
ELK COUNTY REG MED CENTER               ,250460420,556967,N,O,1,PA
ELK REGIONAL HLTH CTR HOSPITAL          ,250585280,563327,P,O,1,PA
ELKHART GENERAL HOSPITAL                ,350877574,100392,P,O,1,MI
ELKVIEW GENERAL HOSPITAL                ,736119841,491886,P,O,1,OK
ELLENVILLE REGIONAL HOSPITAL            ,134111638,424607,P,O,1,NY
ELLETT MEMORIAL HOSPITAL                ,430906258,287921,P,O,1,MO
ELLINWOOD DISTRICT HOSPITAL             ,481226976,362005,P,O,1,KS
ELLIOT HOSPITAL                         ,20232673,450079,P,O,1,NH
ELLIS FISCHEL CANCER CENTER             ,436003859,972690,P,O,1,MO
ELLIS HOSPITAL                          ,141338428,193181,P,O,1,NY
ELLSWORTH AIR FORCE/HOSPITAL            ,460434075,942993,N,O,1,SD
ELLSWORTH COUNTY MEDICAL CENTER         ,481135075,280805,P,O,1,KS
ELLWOOD CITY HOSPITAL                   ,250461835,524502,P,O,1,PA
EL-MAWAN MEDICAL CENTER                 ,541981520,2775386,N,O,1,VA
ELMHURST HOSPITAL CENTER                ,132655001,781362,P,O,1,NY
ELMHURST MEMORIAL HOSPITAL              ,362167784,704283,P,O,1,IL
ELMORE COMMUNITY HOSPITAL               ,631253446,365074,P,O,1,AL
ELY BLOOMENSON HOSPITAL                 ,410808719,172798,P,O,1,MN
EMANUEL MEDICAL CENTER                  ,752918774,447480,P,O,1,CA
EMANUEL MEDICAL CENTER                  ,586002922,2216774,P,O,1,GA
EMANUEL MEDICAL CENTER                  ,942281314,447480,P,O,1,CA
EMERALD COAST HOSPITAL                  ,592811529,894378,N,O,1,FL
EMERGI CENTER                           ,941461843,1711983,N,O,1,CA
EMERGICARE-CLARKSON WEST                ,470376531,2403638,N,O,1,NE
EMERSON HOSPITAL                        ,42103565,177839,P,O,1,MA
EMERUS COMMUNITY HOSPITAL               ,204473775,4463036,N,O,1,TX
EMMA L BIXBY HOSPITAL                   ,381575320,1589105,N,O,1,MI
EMMA LAING STEVENS HOSPITAL             ,141095055,418287,N,O,1,NY
EMMANUEL CONVALESCENT HOSPITAL          ,954222919,2549798,N,O,1,IL
EMORY ADVENTIST HOSPITAL                ,582171011,230981,N,O,1,GA
EMORY CRAWFORD LONG HOSPITAL            ,580566200,3741946,N,O,1,GA
EMORY EASTSIDE MEDICAL CENTER           ,582433432,3692246,N,O,1,GA
EMORY JOHNS CREEK HOSPITAL              ,582433436,2674638,P,O,1,GA
EMORY PARKWAY MED CENTER                ,582433431,1300868,P,O,1,GA
EMORY UNIVERSITY HOSPITAL               ,580566256,493793,P,O,1,GA
EMORY UNIVERSITY HOSPITAL MIDTOWN       ,580566200,776130,P,O,1,GA
ENCINO HOSPITAL MEDICAL CENTER          ,262128507,1261274,P,O,1,CA
ENCINO TARZANA REG MC TARZANA           ,760383712,658496,N,O,1,CA
ENDERBY & DISTRICT MEMORIAL HSP         ,0,614911,N,O,1,BC
ENDLESS MOUNTAINS HEALTH SYSTEM         ,240853972,82881,P,O,1,PA
ENDLESS MOUNTAINS HEALTH SYSTEM         ,232720289,82881,P,O,1,PA
ENGLEWOOD COMMUNITY HOSPITAL            ,351611050,287049,P,O,1,GA
ENGLEWOOD HOSPITAL & MEDICAL CTR        ,221487173,675506,P,O,1,NJ
ENGLEWOOD HOSPITAL & MEDICAL CTR        ,221489173,675506,P,O,1,NJ
ENGLISH PARK MEDICAL CENTER             ,610711162,216852,N,O,1,SC
ENID MEMORIAL HOSPITAL                  ,730622115,1675518,N,O,1,OK
ENLOE BEHAVIORAL HEALTH CENTER          ,941603784,2030243,N,O,1,CA
ENLOE MEDICAL CENTER                    ,941603784,2704045,P,O,1,CA
ENNIS REGIONAL MEDICAL CENTER           ,621789402,1951671,P,O,1,TX
ENTERHEALTH OUTPATIENT SERVICES         ,452636980,3767623,N,O,1,TX
ENTERPRISE HOSPITAL                     ,630509016,149469,N,O,1,AL
EPHRAIM MCDOWELL REGION MED CTR         ,610492356,25151,P,O,1,KY
EPHRATA COMMUNITY HOSPITAL              ,231370484,499612,P,O,1,PA
EPIC MEDICAL CENTER                     ,452807628,471796,P,O,1,OK
EPIC VALLEY MEDICAL CENTER              ,330474573,243659,N,O,1,CA
EPIC WESTBURY HOSPITAL                  ,760337020,1691114,N,O,1,TX
EPIC\ALVIN COMMUNITY HOSP               ,954176925,1721292,N,O,1,TX
EPIC\ALVIN COMMUNITY HOSPITAL           ,741801501,1679902,N,O,1,TX
EPISCOPAL HOSPITAL                      ,231365351,223599,N,O,1,PA
EPMG-MARK TWAIN ST JOSEPHS              ,943293742,1839713,N,O,1,CA
ER 24-7 PLUS ORTHO                      ,342007862,3251624,N,O,1,TX
ER AT CRAIG RANCH BY CODE               ,473050162,5475053,N,O,1,TX
ERIE COUNTY MEDICAL CENTER              ,830382654,679907,P,O,1,NY
ERLANGER BLEDSOE                        ,626000101,248622,P,O,1,TN
ERLANGER BLEDSOE                        ,953982753,248622,P,O,1,TX
ERLANGER EAST CAMPUS                    ,626000101,3197648,P,O,1,TN
ERLANGER NORTH                          ,626000101,645784,P,O,1,TN
ERMOSA CENTER                           ,760303082,1944659,N,O,1,TX
ERNEST E KENNEDY CENTER                 ,571048948,2170756,P,O,1,SC
ESKENAZI HEALTH                         ,356005697,406182,P,O,1,OH
ESSENTIA HEALTH DEER RIVER              ,410844574,38735,P,O,1,MN
ESSENTIA HEALTH FARGO                   ,261175213,2046723,P,O,1,ND
ESSENTIA HEALTH HOLY TRINITY HOSPITAL   ,410726173,1785586,P,O,1,MN
ESSENTIA HEALTH SANDSTONE               ,411884597,3691969,N,O,1,MN
ESTELLE DOHENY EYE HOSPITAL             ,954391055,1722062,N,O,1,CA
ESTELLE DOHENY EYE HOSPITAL             ,954517003,6933,N,O,1,CA
ESTELLINE COMMUNITY HOSPITAL            ,942830612,649089,N,O,1,SD
ESTES HEALTH CARE CENTER NORTH          ,630942693,2108759,N,O,1,AL
ESTES PARK MEDICAL CENTER               ,840601621,381153,P,O,1,CO
ETHICUS HOSPITAL-GRAPEVINE              ,263044485,2930129,N,O,1,TX
ETMC ATHENS                             ,751854562,455793,P,O,1,TX
ETMC CARTHAGE                           ,752735077,475941,P,O,1,TX
ETMC CROCKETT                           ,752602621,1277833,N,O,1,TX
ETMC FAIRFIELD                          ,741774669,201602,P,O,1,TX
ETMC FAIRFIELD                          ,752753454,201602,P,O,1,TX
ETMC HENDERSON                          ,264123728,784105,P,O,1,TX
ETMC JACKSONVILLE                       ,752715084,382094,P,O,1,TX
ETMC MT VERNON                          ,752250730,337803,N,O,1,TX
ETMC PITTSBURG                          ,751919624,878553,P,O,1,TX
ETMC QUITMAN                            ,752766160,868902,P,O,1,TX
ETMC TRINITY                            ,752715898,1740624,P,O,1,TX
ETMC TYLER                              ,751803325,390745,P,O,1,TX
ETOBICOKE GENERAL HOSPITAL              ,0,519851,N,O,1,ON
ETOWAH REGIONAL MEDICAL SVCS P          ,582115744,2058436,N,O,1,GA
EUCLID HOSPITAL                         ,340714593,330215,P,O,1,OH
EUGENE DU PONT PREVENTIVE MEDICINE & R**,510103684,3873915,N,O,1,DE
EUGENE DUPONT MEMORIAL HOSP             ,510103684,1619519,N,O,1,DE
EUREKA COMMUNITY HEALTH SERVICES-AVERA H,460246437,2222373,P,O,1,SD
EUREKA SPRINGS HOSPITAL                 ,134363912,47079,P,O,1,AR
EUREKA SPRINGS HOSPITAL                 ,710850872,47079,P,O,1,AR
EUREKA SPRINGS HOSPITAL                 ,710850672,47079,P,O,1,AR
EVANGELICAL COMMUNITY HOSP              ,240795411,318311,N,O,1,PA
EVANS MEMORIAL HOSPITAL                 ,582257925,509178,P,O,1,GA
EVANSTON HOSPITAL                       ,362167060,306915,P,O,1,IL
EVANSTON REGIONAL HOSPITAL              ,830327475,574718,P,O,1,WY
EVEREST INSTITUTE                       ,870729239,2546744,N,O,1,IA
EVERGLADES REGIONAL MED CENTER          ,592659720,688467,N,O,1,FL
EVERGREEN HOSPITAL                      ,630734244,1661692,N,O,1,AL
EVERGREEN MEDICAL CENTER                ,208057151,372620,P,O,1,AL
EVERGREEN PARK HOSPITAL                 ,216000107,1541966,N,O,1,NJ
EVERGREENHEALTH MEDICAL CENTER          ,910844563,591625,P,O,1,WA
EVERGREENHEALTH MONROE                  ,916018764,582469,P,O,1,WA
EXCELSIOR SPRINGS HOSPITAL              ,431080811,414761,P,O,1,MO
EXETER HOSPITAL                         ,222674014,560239,P,O,1,NH
EXIGENCE PENNSYLVANIA                   ,208481861,2789282,N,O,1,NY
EXPRESS CARE CORP HEALTH                ,370661199,3007101,N,O,1,IL
EYE & EAR HOSPITAL OF PITTSBURGH        ,250965433,424132,N,O,1,PA
EYE & EAR HOSPITAL PITTSBURGH           ,250469335,1558224,N,O,1,PA
F F THOMPSON HOSPITAL                   ,160743024,205806,P,O,1,NY
FACILITY PASSAGE HEALTH                 ,462794441,5264881,P,O,1,FL
FAIR WINDS WAY PLLC                     ,475126344,5742648,N,O,1,TN
FAIRBANK MEMORIAL HOSPITAL              ,320499956,6234714,N,O,1,AK
FAIRBANKS MEMORIAL HOSPITAL             ,920077525,255237,P,O,1,AK
FAIRBURY HOSPITAL                       ,370704576,474594,N,O,1,IL
FAIRCHILD MEDICAL CENTER                ,941623075,618540,P,O,1,CA
FAIRFAX COMMUNITY HOSPITAL              ,271730967,418443,P,O,1,OK
FAIRFAX HOSPITAL FOR CHILDREN           ,540620889,3346527,N,O,1,VA
FAIRFIELD MEDICAL CENTER                ,310645626,469966,P,O,1,OH
FAIRFIELD MEM HOSP                      ,576004185,2504901,P,O,1,SC
FAIRFIELD MEMORIAL HOSPITAL             ,370661202,618268,P,O,1,IL
FAIRMONT HEALTH & REHABILITATION CTR    ,364802526,6211832,N,O,1,WV
FAIRMONT HOSPITAL                       ,943302014,784340,P,O,1,CA
FAIRMONT REGIONAL MEDICAL CENTER        ,352507149,176185,P,O,1,WV
FAIRMONT REGIONAL MEDICAL CENTER        ,556011134,176185,P,O,1,WV
FAIRVIEW DEVELOPMENTAL CENTER           ,680282313,3209832,N,O,1,CA
FAIRVIEW DIAGNOSTIC LAB                 ,410991680,3067016,N,O,1,MN
FAIRVIEW HOSPITAL                       ,340714618,288948,P,O,1,OH
FAIRVIEW HOSPITAL                       ,736082943,11856,P,O,1,OK
FAIRVIEW HOSPITAL                       ,42133860,248797,P,O,1,MA
FAIRVIEW HOSPITAL                       ,472059580,11856,P,O,1,OK
FAIRVIEW LAKES REGIONAL MEDICAL CENTER  ,410991680,1771024,P,O,1,MN
FAIRVIEW MEDICAL CENTER                 ,630779607,64677,N,O,1,AL
FAIRVIEW NORTHLAND REGIONAL HOSPITAL    ,410991680,1060508,P,O,1,MN
FAIRVIEW PARK HOSPITAL                  ,621817469,72943,P,O,1,GA
FAIRVIEW RIDGES HOSPITAL                ,410991680,180349,P,O,1,MN
FAIRVIEW SOUTHDALE HOSPITAL             ,410991680,688428,P,O,1,MN
FAIRVIEW STATE HOSPITAL                 ,946001347,1145602,N,O,1,CA
FAIRVIEW UNIV MEDICAL CTR URN ONLY      ,410991680,2996888,N,O,1,MN
FAIRVIEW UNIV TRANSPLANT CLAIMS         ,410991680,2338481,N,O,1,MN
FAIRVIEW UNIVERSITY MED CENTER UNIV CAMP,410991680,2787815,N,O,1,MN
FAIRVIEW WOUND CARE CENTER              ,410991680,2231151,P,O,1,MN
FAIRWAY MEDICAL CENTER                  ,721426390,2538252,P,O,1,LA
FAITH COMMUNITY HOSPITAL                ,756004585,842557,P,O,1,TX
FAITH MEDICAL GROUP                     ,251908477,3401278,N,O,1,FL
FAITH REGIONAL HLTH SVCS                ,470796875,180185,P,O,1,NE
FALL RIVER HOSPITAL                     ,460450523,2084247,P,O,1,SD
FALLBROOK HOSPITAL                      ,956004706,494254,N,O,1,AZ
FALLON MEDICAL COMPLEX-HOSPITAL         ,363808993,559349,P,O,1,MT
FALLS COMMUNITY HOSP & CLINIC           ,741471231,661578,P,O,1,TX
FALLS MEMORIAL HOSPITAL                 ,410726171,3322612,P,O,1,MN
FALLSTON GENERAL HOSPITAL               ,521253920,2019731,N,O,1,MD
FALMOUTH HOSPITAL                       ,42220716,351873,P,O,1,MA
"FAMILY & CHILDRENS CENTER,INC           ",390821863,2946741,N,O,1,WI
FAMILY HEALTH CENTER                    ,201749670,2750666,N,O,1,TX
FAMILY HEALTH WEST                      ,840447998,633610,P,O,1,CO
FAMILY HOSPITAL CENTER                  ,750109845,163383,N,O,1,TX
FAMILY MEDICAL ASSOCIATES               ,431323669,2356265,N,O,1,MO
FAMILY MEDICAL GRP OF UNION             ,201835779,3524101,N,O,1,MS
FAMILY MEDICINE ASSOC                   ,560928089,2674645,N,O,1,NC
FAMILY PHYSICIAN HEALTH CENTER          ,111839567,2048713,P,O,1,NY
FAMILY SERVICE & COMMUNITY MH CTR       ,362428268,2315347,N,O,1,IL
FAMILY SERVICES OF WESTERN PA           ,250965341,2337130,P,O,1,PA
FANNIN MANAGEMENT                       ,320456095,5316346,N,O,1,TX
FANNIN REGIONAL HOSPITAL                ,760350464,407988,P,O,1,GA
FANNY ALLEN HOSPITAL                    ,30181052,432406,N,O,1,VT
FARREN MEMORIAL HOSP                    ,42103571,553318,N,O,1,MA
FAST TRACK ASSOCIATES                   ,660681814,2755268,N,O,1,VI
FAULKTON AREA MEDICAL CENTER            ,363317416,1478600,P,O,1,SD
FAUQUIER HOSPITAL                       ,540573701,148449,P,O,1,VA
FAUQUIER HOSPITAL                       ,463107896,148449,P,O,1,VA
FAWCETT MEMORIAL HOSPITAL               ,650252846,405102,P,O,1,GA
FAXTON-ST LUKES HEALTHCARE              ,161576637,498543,P,O,1,NY
FAYETTE COMMUNITY HOSPITAL              ,582322328,1727212,P,O,1,GA
FAYETTE COUNTY HOSPITAL                 ,201890414,88166,P,O,1,IL
FAYETTE COUNTY HOSPITAL                 ,376012895,88166,P,O,1,IL
FAYETTE COUNTY MEMORIAL HOSPITAL        ,316008062,132375,P,O,1,OH
FAYETTE MEDICAL CENTER                  ,636004942,696150,P,O,1,AL
FAYETTE MEMORIAL HOSPITAL               ,350900741,597565,P,O,1,IN
FAYETTEVILLE ARKANSAS HOSPITAL COMPANY  ,811156570,5985896,N,O,1,TX
FAYETTEVILLE SPECIALTY HOSPITAL         ,562255267,2270354,N,O,1,NC
FEATHER RIVER HOSPITAL                  ,941101228,2703301,P,O,1,CA
FELICIANA MEDICAL CENTER                ,720905960,464508,N,O,1,LA
FERGUS FALLS REG TREATMENT CNTR         ,411242005,103183,N,O,1,MN
FERGUS FALLS REG TREATMENT CNTR         ,959620800,103183,N,O,1,MN
FERGUS FALLS TREATMENT CENTER           ,416007162,2007472,P,O,1,MN
FERGUSON HOSPITAL                       ,381422408,261577,N,O,1,MI
FERRELL HOSPITAL                        ,201244058,74968,P,O,1,IL
FERRY COUNTY PUB HSP DST 1              ,910879683,555142,P,O,1,WA
FHC NASHVILLE BEHAVIORAL HLT SYS        ,621575327,1292958,N,O,1,TN
FHC OAKWOOD BEHAVIORAL HLTH SYS         ,620788286,1292976,P,O,1,TN
FHHS GLOBAL NETWORK                     ,593275680,2452764,N,O,1,FL
FHN MEMORIAL HOSPITAL                   ,362476123,23729,P,O,1,IL
FHN MEMORIAL HOSPITAL                   ,362181997,23729,P,O,1,IL
FHP HOSPITAL                            ,952143064,1716285,N,O,1,CA
FHP HOSPITAL UTAH                       ,870345631,1099757,N,O,1,UT
FIELD MEMORIAL COMMUNITY HOSP           ,646009174,422292,P,O,1,MS
FILLMORE COMMUNITY HOSPITAL             ,942854057,513889,P,O,1,UT
FILLMORE COUNTY HOSPITAL                ,470529089,535654,P,O,1,NE
FINLEY HOSPITAL                         ,420680354,376125,P,O,1,UT
FINNEY ZIMMERMAN PSYCHIATRIC ASSOC PLC  ,541921600,2785681,P,O,1,VA
FIRELANDS REGIONAL MEDICAL CTR          ,344428218,402216,P,O,1,OH
FIRST BAPTIST MEDICAL CENTER            ,465515662,6030908,N,O,1,TX
FIRST CARE HEALTH CENTER                ,450232743,908120,P,O,1,ND
FIRST CHOICE EMERGENCY RD               ,800178940,3105005,N,O,1,TX
FIRST CHOICE HOME CARE-DME              ,760444320,1445983,N,O,1,TX
FIRST CHOICE HOMECARE                   ,760444320,1445984,N,O,1,TX
FIRST HEALTH JENKINS                    ,953956120,605186,N,O,1,KY
FIRST HEALTH RMH                        ,561936354,746671,P,O,1,NC
FIRST LIGHT HEALTH SYSTEM               ,416005815,459353,P,O,1,MN
FIRST MED                               ,481134406,2403614,N,O,1,KS
FIRST STRATEGIC HOSPITAL                ,951938592,1716173,N,O,1,CA
FIRST STREET HOSPITAL                   ,204464983,3467638,N,O,1,TX
FIRST SURGICAL HOSPITAL                 ,471812896,5222501,N,O,1,TX
FIRST TEXAS HOSPITAL                    ,473480091,6195277,N,O,1,TX
FIRSTHEALTH MOORE REGIONAL HOSPITAL     ,561936354,2298205,P,O,1,NC
FISH MEMORIAL HOSPITAL                  ,592331301,501875,N,O,1,FL
FISHER COUNTY HOSPITAL DISTRICT         ,751433495,503573,P,O,1,TX
FISHERMAN'S MEMORIAL HOSPITAL           ,999999998,3370824,N,O,1,NS
FISHERMEN'S HOSPITAL                    ,590914771,3385651,P,O,1,FL
FISHERMENS MEMORIAL HOSPITAL            ,999999998,3282157,N,O,1,ON
FISHER-TITUS MEDICAL CENTER             ,344430716,449246,P,O,1,OH
FITNESS & REHABILITATION                ,760211514,1445488,N,O,1,TX
FITZGIBBON HOSPITAL                     ,440655986,666881,P,O,1,MO
FITZSIMONS ARMY MEDICAL CENTER          ,840464671,166965,N,O,1,CO
FIVE RIVERS MEDICAL CENTER              ,273970823,673015,P,O,1,AR
FL HOSPITAL WAUCHULA                    ,590725553,1112035,P,O,1,FL
FLAGET MEMORIAL HOSPITAL                ,611345363,150037,P,O,1,PA
FLAGLER HOSPITAL                        ,590675143,602173,P,O,1,FL
FLAGSTAFF MEDICAL CENTER                ,387949794,2848336,N,O,1,AZ
FLAGSTAFF MEDICAL CENTER                ,860110232,560829,P,O,1,AZ
FLAMBEAU HOSPITAL                       ,390973724,538516,P,O,1,WI
FLATBUSH GEN HOSP                       ,112329907,549153,N,O,1,NY
FLATBUSH GENERAL HOSPITAL               ,112329907,553994,N,O,1,NY
FLEMING COUNTY HOSPITAL                 ,473937528,626996,P,O,1,KY
FLEMING COUNTY HOSPITAL                 ,610598543,626996,P,O,1,KY
FLETCHER ALLEN HEALTH CARE              ,30219306,5463668,N,O,1,VT
FLIN FLON GENERAL HOSPITAL              ,0,469912,N,O,1,MB
FLINT OSTEOPATHIC HOSPITAL              ,381437916,1588904,N,O,1,MI
FLINT RIVER COMMUNITY HOSPITAL          ,462537433,280803,P,O,1,GA
FLOATING HOSP 4 CHILDREN/TUFTS MED CTR  ,43400617,5644619,P,O,1,NY
FLORENCE COMMUNITY HEALTHCARE           ,270560145,3137341,N,O,1,CO
FLORENCE HOSPITAL                       ,636000280,543996,N,O,1,AL
FLORENCE HOSPITAL AT ANTHEM             ,261523903,3443583,N,O,1,OK
FLORIDA DETOX                           ,593726769,2784451,N,O,1,FL
FLORIDA ELKS HARRY-ANNA HOSPITAL        ,590637860,449631,N,O,1,FL
FLORIDA HOSP ALTAMONTE                  ,590724459,760671,P,O,1,FL
FLORIDA HOSP APOPKA                     ,590724459,760681,P,O,1,FL
FLORIDA HOSP AT CONNERTON               ,591113901,2989249,P,O,1,FL
FLORIDA HOSP CELEBRATION                ,590724459,1754867,P,O,1,FL
FLORIDA HOSP HEARTLAND MED CTR          ,590725553,257234,P,O,1,FL
FLORIDA HOSP KISSIMMEE                  ,590724459,623721,P,O,1,FL
FLORIDA HOSP MED CENTER                 ,590724459,678197,P,O,1,FL
FLORIDA HOSP MED CENTER                 ,593215680,2023292,N,O,1,FL
FLORIDA HOSP WESLEY CHAPEL              ,208488713,3496187,P,O,1,FL
FLORIDA HOSP WINTER PARK                ,590724459,1965220,P,O,1,FL
FLORIDA HOSPITAL CARROLLWOOD            ,591113901,1090821,P,O,1,FL
FLORIDA HOSPITAL DELAND                 ,593256803,502055,P,O,1,FL
FLORIDA HOSPITAL EAST                   ,590724459,857978,P,O,1,FL
FLORIDA HOSPITAL EDEN SPA               ,590724459,2918569,N,O,1,FL
FLORIDA HOSPITAL FISH MEMORIAL          ,593149293,1161695,P,O,1,FL
FLORIDA HOSPITAL FLAGLER                ,592951990,235527,P,O,1,FL
FLORIDA HOSPITAL LAKE MARY              ,590724459,6113846,P,O,1,FL
FLORIDA HOSPITAL LAKE PLACID            ,590725553,898222,P,O,1,FL
FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,590973502,458316,P,O,1,FL
FLORIDA HOSPITAL NEW SMYRNA             ,593306983,1249495,P,O,1,FL
FLORIDA HOSPITAL NEW SMYRNA             ,473793197,1249495,P,O,1,FL
FLORIDA HOSPITAL OCEANSIDE              ,592822330,452067,P,O,1,FL
FLORIDA HOSPITAL OCEANSIDE              ,590973502,452067,P,O,1,FL
FLORIDA HOSPITAL TAMPA                  ,591113901,730063,P,O,1,FL
FLORIDA HOSPITAL WATERMAN               ,593140669,995551,P,O,1,FL
FLORIDA HOSPITAL WINTER GARDEN          ,590724459,6036034,P,O,1,FL
FLORIDA HOSPITAL ZEPHYRHILLS            ,592108057,572632,P,O,1,FL
FLORIDA HOSPITAL/ST PETERSBURG          ,592965441,591875,N,O,1,FL
FLORIDA INSTITUTE FOR NEUROLOG          ,650338754,1955388,N,O,1,FL
FLORIDA MEDICAL CENTER                  ,650638217,504266,P,O,1,GA
FLORIDA MEDICAL CENTER                  ,650154753,504266,P,O,1,GA
FLORIDA MEDICAL CENTER                  ,752671592,504266,P,O,1,GA
FLORIDA MEDICAL CENTER SOUTH            ,953791901,1856289,N,O,1,FL
FLORIDA PATHOLOGY LAB                   ,593215680,2641684,N,O,1,FL
FLORIDA STATE HOSPITAL                  ,593458463,441715,N,O,1,FL
FLOWER HOSPITAL                         ,344428794,664070,P,O,1,OH
FLOWER MOUND EMERGENCY                  ,800450890,3233007,N,O,1,TX
FLOWER MOUND EMERGENCY                  ,830380007,3233007,N,O,1,TX
FLOWER MOUND EMERGENCY CARE             ,830380007,3232989,N,O,1,TX
FLOWERS HOSPITAL                        ,621762412,580869,P,O,1,GA
FLOYD COUNTY MEMORIAL HOSPITAL          ,420868216,13899,P,O,1,IA
FLOYD MEDICAL CENTER                    ,581973570,102108,P,O,1,GA
FLOYD VALLEY HEALTHCARE                 ,420928451,349681,P,O,1,IA
FLUSHING HOSP MED CTR                   ,111631781,450621,P,O,1,NY
FOCUS ON RECOVERY                       ,263656970,3263870,N,O,1,NM
FOND DU LAC COUNTY DEPT COMMUNITY PROGS ,396005696,2827115,P,O,1,WI
FOOTHILL PRESBYTERIAN HOSPITAL          ,952413054,2704026,P,O,1,CA
FOOTHILL REGIONAL MEDICAL CENTER        ,300804393,5718898,N,O,1,CA
FOOTHILLS FAMILY MEDICINE               ,560928089,2676906,N,O,1,NC
FOOTHILLS HOSPITAL                      ,0,69768,N,O,1,AB
FOREIGN HOSPITAL                        ,11111111,372781,N,O,1,FL
FOREST CITY COMMUNITY HOSPITAL          ,426005843,376372,N,O,1,IA
FOREST COUNTY HEALTH DEPT               ,396005697,291145,N,O,1,WI
FOREST HEALTH MEDICAL CENTER            ,383527511,2006300,P,O,1,OH
FOREST HILLS HOSPITAL                   ,112163522,293078,P,O,1,NY
FOREST PARK MEDICAL CENTER              ,260778545,3022085,P,O,1,TX
FOREST PARK MEDICAL CTR AT FORT WORTH   ,453091938,5174022,P,O,1,TX
FOREST PARK MEDICAL CTR AT FRISCO       ,272553391,3472243,P,O,1,TX
FORKS COMMUNITY HOSPITAL                ,916001732,184332,P,O,1,WA
FORREST CITY MEDICAL CENTER             ,204217095,409006,P,O,1,MO
FORREST GENERAL HOSPITAL                ,646001587,94652,P,O,1,MS
FORREST GENERAL HOSPITAL CANCER CTR     ,646001587,2288100,N,O,1,MS
FORSYTH CNTY HEALTH DEPT                ,580679119,1637951,N,O,1,GA
FORT BEND MEDICAL CENTER                ,760337013,313005,N,O,1,TX
FORT DUNCAN MEDICAL CENTER              ,233044530,552146,P,O,1,TX
FORT HAMILTON HOSPITAL                  ,310536662,642464,P,O,1,OH
FORT HEALTHCARE                         ,390286215,360869,P,O,1,WI
FORT LOGAN HOSPITAL                     ,611388556,172628,P,O,1,KY
FORT MADISON COMMUNITY HOSPITAL         ,421081055,181708,P,O,1,IA
FORT MYERS COMMUNITY HOSP               ,351290931,1574178,N,O,1,FL
FORT ST JOHN GENERAL HOSPITAL           ,0,901784,N,O,1,BC
FORT WALTON BEACH MEDICAL CENTER        ,611259833,636403,P,O,1,GA
FORT WASHINGTON HOSPITAL                ,521682858,856571,P,O,1,MD
FORUM HOSPITAL                          ,431427915,11972,N,O,1,MO
FOSTORIA COMMUNITY HOSPITAL             ,340898745,887041,P,O,1,OH
FOUNDATION SURGICAL HOSP OF OKLAHOMA    ,203347569,3249475,N,O,1,OK
FOUNDATION SURGICAL HOSPITAL OF HOUSTON ,203317964,2718306,N,O,1,TX
FOUNDATION SURGICAL HOSPITAL OF SAN ANTO,203793927,2864699,N,O,1,TX
FOUNTAIN CENTERS IN ALBERT LEA          ,411404075,4504052,N,O,1,MN
FOUNTAIN CENTERS IN AUSTIN              ,411404075,4504114,N,O,1,MN
